Date,Time,Temperature,Dewpoint,Relhum,Speed,Gust,Pressure
04-10-2021,20:53,64,53,67.4,4,M,1012.3
04-10-2021,21:53,67,53,60.7,3,M,1011.1
04-10-2021,22:53,68,52,56.5,3,M,1010.4
04-10-2021,23:53,68,52,56.5,0,M,1010
05-10-2021,00:53,67,53,60.7,5,M,1009.6
05-10-2021,01:53,65,53,65.1,5,M,1009.5
05-10-2021,02:53,63,54,72.4,4,M,1009.5
05-10-2021,03:53,63,54,72.4,7,M,1009.4
05-10-2021,04:53,62,54,75,6,M,1009.7
05-10-2021,05:53,61,54,77.7,5,M,1009.7
05-10-2021,06:53,60,54,80.5,6,M,1009.7
05-10-2021,07:53,59,54,83.5,6,M,1009.9
05-10-2021,08:53,58,53,83.4,6,M,1009.5
05-10-2021,09:53,59,53,80.5,7,M,1009.5
05-10-2021,10:53,57,53,86.4,6,M,1009.5
05-10-2021,11:53,56,52,86.4,4,M,1009.5
05-10-2021,12:53,57,51,80.3,5,M,1010.1
05-10-2021,13:53,58,50,74.6,5,M,1010
05-10-2021,14:53,59,49,69.4,6,M,1010.5
05-10-2021,15:02,59,49,69.4,6,15,1010.8
05-10-2021,15:11,59,49,69.4,8,M,1010.8
05-10-2021,15:53,56,50,80.2,12,M,1011.3
05-10-2021,16:53,56,52,86.4,11,M,1011.9
05-10-2021,17:53,57,53,86.4,10,M,1012.8
05-10-2021,18:53,58,54,86.5,7,M,1013.4
05-10-2021,19:53,58,53,83.4,8,M,1013.9
05-10-2021,20:53,58,53,83.4,5,M,1014.2
05-10-2021,21:11,58,54,86.5,4,M,1014.2
05-10-2021,21:29,58,53,83.4,5,M,1014.6
05-10-2021,21:53,57,53,86.4,5,M,1014.5
05-10-2021,22:53,58,51,77.5,6,M,1015
05-10-2021,23:53,57,52,83.3,6,M,1015.3
06-10-2021,00:22,56,52,86.4,0,M,1015.6
06-10-2021,00:28,56,51,83.3,0,M,1015.6
06-10-2021,00:53,57,51,80.3,3,M,1015.3
06-10-2021,01:53,56,49,77.3,5,M,1016.1
06-10-2021,02:53,55,51,86.3,3,M,1016.5
06-10-2021,03:53,54,50,86.3,6,M,1016.7
06-10-2021,04:53,53,49,86.2,5,M,1017
06-10-2021,05:53,53,49,86.2,6,M,1017.2
06-10-2021,06:53,52,48,86.2,7,M,1017.6
06-10-2021,07:53,52,47,83,7,M,1018
06-10-2021,08:53,51,46,82.9,7,M,1018.3
06-10-2021,09:53,51,46,82.9,10,M,1018.5
06-10-2021,10:53,52,47,83,7,M,1018.6
06-10-2021,11:53,52,46,79.9,7,M,1018.8
06-10-2021,12:53,51,46,82.9,6,M,1019.5
06-10-2021,13:53,52,46,79.9,8,M,1019.7
06-10-2021,14:53,51,46,82.9,8,M,1020.1
06-10-2021,15:53,52,46,79.9,5,M,1020.6
06-10-2021,16:53,54,45,71.5,4,M,1021
06-10-2021,17:53,56,46,69,8,M,1021.2
06-10-2021,18:05,57,46,66.6,8,M,1021.3
06-10-2021,18:40,57,45,64.1,11,M,1021
06-10-2021,18:53,58,45,61.8,10,M,1021.2
06-10-2021,19:53,59,44,57.4,10,M,1020.8
06-10-2021,20:53,60,44,55.4,7,M,1020.5
06-10-2021,21:53,60,45,57.6,5,M,1020.2
06-10-2021,22:53,53,47,80,3,M,1020.8
06-10-2021,23:53,56,47,71.7,0,M,1020.6
07-10-2021,00:53,56,48,74.4,3,M,1020.9
07-10-2021,01:53,55,48,77.2,3,M,1021.1
07-10-2021,02:53,51,48,89.4,0,M,1021.6
07-10-2021,03:53,50,47,89.4,0,M,1021.6
07-10-2021,04:53,52,47,83,0,M,1021.5
07-10-2021,05:53,48,45,89.3,3,M,1021.6
07-10-2021,06:47,46,45,96.3,0,M,1021.7
07-10-2021,06:53,47,44,89.2,0,M,1021.6
07-10-2021,07:53,46,43,89.2,0,M,1021.7
07-10-2021,08:53,45,42,89.1,0,M,1021.8
07-10-2021,09:00,45,42,89.1,0,M,1022
07-10-2021,09:09,46,43,89.2,3,M,1022
07-10-2021,09:21,46,44,92.7,4,M,1021.7
07-10-2021,09:35,46,44,92.7,4,M,1022
07-10-2021,09:39,46,43,89.2,3,M,1022
