Date,Time,Temperature,Dewpoint,Relhum,Speed,Gust,Pressure
04-10-2021,20:53,60,49,66.9,6,M,1013.6
04-10-2021,21:53,61,48,62.2,4,M,1012.5
04-10-2021,22:53,59,48,66.8,5,M,1011.9
04-10-2021,23:53,60,48,64.5,3,M,1011.3
05-10-2021,00:53,58,48,69.3,4,M,1010.8
05-10-2021,01:53,57,47,69.1,0,M,1010.5
05-10-2021,02:53,56,46,69,0,M,1010
05-10-2021,03:53,54,48,80.1,3,M,1010
05-10-2021,04:53,55,47,74.3,0,M,1009.6
05-10-2021,05:53,53,48,83.1,0,M,1009.6
05-10-2021,06:53,54,49,83.1,4,M,1009.3
05-10-2021,07:53,52,48,86.2,3,M,1008.9
05-10-2021,08:53,52,50,92.9,5,M,1008.6
05-10-2021,09:53,52,49,89.5,5,M,1008.5
05-10-2021,10:53,52,49,89.5,6,M,1008.2
05-10-2021,11:45,52,50,92.9,5,M,1007.6
05-10-2021,11:53,53,50,89.5,7,M,1008.1
05-10-2021,12:29,54,51,89.5,6,M,1007.6
05-10-2021,12:39,54,51,89.5,5,M,1007.6
05-10-2021,12:53,54,51,89.5,4,M,1008.1
05-10-2021,13:46,54,51,89.5,3,M,1007.6
05-10-2021,13:53,54,50,86.3,0,M,1007.7
05-10-2021,14:53,53,50,89.5,7,M,1008.4
05-10-2021,15:53,53,51,92.9,9,M,1009.2
05-10-2021,16:05,53,50,89.5,10,M,1009
05-10-2021,16:50,54,50,86.3,9,M,1009.9
05-10-2021,16:53,53,50,89.5,10,M,1010.4
05-10-2021,17:50,54,52,92.9,13,M,1010.3
05-10-2021,17:53,54,51,89.5,12,M,1010.8
05-10-2021,18:53,54,51,89.5,11,19,1011.9
05-10-2021,19:00,54,51,89.5,12,M,1011.6
05-10-2021,19:53,53,50,89.5,10,M,1012.8
05-10-2021,20:15,53,50,89.5,6,M,1012.3
05-10-2021,20:53,54,51,89.5,8,M,1013.1
05-10-2021,21:53,54,51,89.5,7,M,1013.3
05-10-2021,22:53,51,47,86.1,9,M,1014.2
05-10-2021,23:53,53,49,86.2,6,M,1014.4
06-10-2021,00:53,53,50,89.5,10,M,1014.5
06-10-2021,01:53,52,48,86.2,10,M,1014.9
06-10-2021,02:53,50,47,89.4,7,M,1015.3
06-10-2021,03:53,51,47,86.1,8,M,1015.7
06-10-2021,04:53,51,46,82.9,9,M,1015.7
06-10-2021,05:53,49,44,82.8,8,M,1015.8
06-10-2021,06:53,49,43,79.7,9,M,1015.9
06-10-2021,07:53,48,42,79.6,9,M,1016.2
06-10-2021,08:53,49,42,76.7,11,M,1016.2
06-10-2021,09:53,47,41,79.5,9,M,1016.5
06-10-2021,10:53,49,43,79.7,9,M,1016.8
06-10-2021,11:53,48,43,82.7,7,M,1017
06-10-2021,12:53,48,43,82.7,5,M,1017.5
06-10-2021,13:53,48,44,85.9,7,M,1018
06-10-2021,14:53,48,45,89.3,7,M,1018.5
06-10-2021,15:53,49,46,89.3,5,M,1019.1
06-10-2021,16:53,51,46,82.9,6,M,1019.7
06-10-2021,17:53,52,46,79.9,6,M,1020.2
06-10-2021,18:53,51,48,89.4,5,M,1020.5
06-10-2021,19:11,52,49,89.5,6,M,1019.8
06-10-2021,19:39,54,50,86.3,6,M,1019.8
06-10-2021,19:46,55,49,80.1,8,M,1019.7
06-10-2021,19:53,54,49,83.1,7,M,1020.3
06-10-2021,19:57,54,48,80.1,9,M,1019.8
06-10-2021,20:36,52,48,86.2,9,M,1019.8
06-10-2021,20:53,54,49,83.1,7,M,1020.1
06-10-2021,21:53,55,47,74.3,9,M,1020
06-10-2021,22:53,55,47,74.3,5,M,1019.9
06-10-2021,23:53,54,47,77.1,7,M,1020.1
07-10-2021,00:53,55,46,71.6,8,M,1020.2
07-10-2021,01:53,52,45,76.9,9,M,1020.6
07-10-2021,02:53,51,45,79.8,6,M,1021.4
07-10-2021,03:53,51,45,79.8,5,M,1021.7
07-10-2021,04:17,50,45,82.8,3,M,1021.6
07-10-2021,04:53,50,45,82.8,3,M,1022.1
07-10-2021,05:02,50,45,82.8,4,M,1021.6
07-10-2021,05:09,50,45,82.8,4,M,1021.6
07-10-2021,05:53,49,45,86,0,M,1022.3
07-10-2021,06:53,49,45,86,0,M,1022.4
07-10-2021,07:34,48,45,89.3,3,M,1022
07-10-2021,07:44,47,44,89.2,4,M,1022
07-10-2021,07:53,47,43,85.9,4,M,1022.5
07-10-2021,08:19,47,43,85.9,5,M,1022.4
07-10-2021,08:27,47,43,85.9,5,M,1022.4
07-10-2021,08:53,47,43,85.9,5,M,1022.7
07-10-2021,09:02,46,43,89.2,6,M,1022.4
07-10-2021,09:53,47,44,89.2,4,M,1022.7
07-10-2021,10:41,47,43,85.9,0,M,1022.4
07-10-2021,10:53,46,42,85.8,3,M,1022.6
07-10-2021,11:27,46,43,89.2,3,M,1022.4
07-10-2021,11:53,47,44,89.2,3,M,1022.7
07-10-2021,12:15,46,43,89.2,3,M,1022.4
07-10-2021,12:53,46,44,92.7,0,M,1022.9
07-10-2021,13:53,46,43,89.2,4,M,1022.8
07-10-2021,14:12,46,43,89.2,0,M,1022.4
07-10-2021,14:53,46,43,89.2,4,M,1023
