Date,Time,Temperature,Dewpoint,Relhum,Speed,Gust,Pressure
04-10-2021,21:00,57,50,77.4,6,M,1013.7
04-10-2021,22:00,57,50,77.4,9,M,1012.6
04-10-2021,23:00,57,50,77.4,9,M,1011.9
05-10-2021,00:00,55,50,83.2,9,M,1011
05-10-2021,01:00,54,50,86.3,6,M,1010.2
05-10-2021,02:00,54,50,86.3,8,M,1009.9
05-10-2021,03:00,54,50,86.3,8,M,1009.4
05-10-2021,04:00,54,52,92.9,11,M,1009.2
05-10-2021,05:00,54,52,92.9,11,M,1008.6
05-10-2021,05:19,54,50,86.3,10,M,1008.5
05-10-2021,06:00,54,50,86.3,11,M,1008.7
05-10-2021,06:16,54,50,86.3,11,M,1008.7
05-10-2021,06:39,54,50,86.3,10,M,1008.4
05-10-2021,07:00,54,50,86.3,7,M,1008.3
05-10-2021,08:00,54,50,86.3,7,M,1008
05-10-2021,08:42,54,50,86.3,4,M,1007.9
05-10-2021,09:00,54,50,86.3,3,M,1007.7
05-10-2021,09:21,54,50,86.3,2,M,1007.7
05-10-2021,10:00,54,50,86.3,4,M,1007.4
05-10-2021,11:00,54,52,92.9,7,M,1006.2
05-10-2021,12:00,54,52,92.9,6,M,1005.9
05-10-2021,13:00,52,52,100,6,M,1006
05-10-2021,13:29,52,52,100,3,M,1005.9
05-10-2021,14:00,52,52,100,2,M,1005.5
05-10-2021,15:00,52,52,100,4,M,1005.1
05-10-2021,15:45,54,52,92.9,13,M,1004.4
05-10-2021,16:00,54,52,92.9,13,M,1004.7
05-10-2021,17:00,55,52,89.6,21,28,1005.2
05-10-2021,18:00,57,52,83.3,18,25,1005.5
05-10-2021,19:00,57,52,83.3,18,24,1006.9
05-10-2021,20:00,57,52,83.3,15,21,1008.5
05-10-2021,21:00,57,48,71.8,9,M,1009.5
05-10-2021,22:00,57,45,64.1,4,M,1010.5
05-10-2021,22:53,55,46,71.6,13,18,1011.1
05-10-2021,23:00,55,45,68.9,10,17,1011.2
